player,team,eliminations,deaths,damage,healing
Adora,Hangzhou Spark,16.01,3.88,5390,5678
Agilities,Los Angeles Valiant,15.94,5.53,6591,6535
AimGod,Boston Uprising,13.42,4.69,6721,9486
aKm,Dallas Fuel,17.3,5.18,9600,158
alemao,Boston Uprising,8.19,4.99,3918,5662
ameng,Chengdu Hunters,16.48,6.21,7051,0
Anamo,New York Excelsior,14.17,2.75,3948,6563
Architect,San Francisco Shock,18.19,4.56,7825,3806
ArHaN,Houston Outlaws,9.99,6.4,4640,7131
ArK,Washington Justice,7.88,2.65,2482,6825
Axxiom,Boston Uprising,13.59,6.33,7227,0
babybay,Atlanta Reign,18.29,4.9,9724,153
Baconjack,Chengdu Hunters,15.61,6.12,7305,123
Bani,Houston Outlaws,11.31,5.26,4791,6825
Bazzi,Hangzhou Spark,15.82,5.85,5369,7506
Bdosin,London Spitfire,15.05,4.11,6983,8836
BEBE,Hangzhou Spark,14.16,3.96,7197,9429
BenBest,Paris Eternal,13.42,6.59,6648,0
BigG00se,Los Angeles Gladiators,12.36,4.69,3870,6429
Bischu,Guangzhou Charge,16.8,5.93,7229,1836
blase,Boston Uprising,14.12,5.69,5288,5127
Boink,Houston Outlaws,8.68,5.09,2736,5754
Boombox,Philadelphia Fusion,14.72,4.69,6282,9251
bqb,Florida Mayhem,16.44,4.81,8641,319
BUMPER,Vancouver Titans,16.64,5.91,7969,6
byrem,Florida Mayhem,11.42,5.37,5266,7719
carpe,Philadelphia Fusion,17.99,4.85,8782,137
Chara,Guangzhou Charge,10.37,3.87,3932,5914
Choihyobin,San Francisco Shock,19.4,3.48,6035,302
Closer,Dallas Fuel,10.94,3.53,3511,6354
ColourHex,Boston Uprising,14.9,5.55,8649,168
CoMa,Shanghai Dragons,7.91,3.71,2070,6161
coolmatt,Houston Outlaws,15.21,4.53,6774,183
Corey,Washington Justice,15.03,5.21,9003,127
Custa,Los Angeles Valiant,9.5,4.48,3074,6896
Daco,Atlanta Reign,17.86,3.82,6663,41
Danteh,Houston Outlaws,17.25,4.21,7516,406
danye,Paris Eternal,16.78,4.9,7861,1399
DDing,Shanghai Dragons,18.26,4.86,9069,378
Decay,Los Angeles Gladiators,18.78,4.49,9050,149
diem,Shanghai Dragons,19.07,4.78,8722,28
Diya,Shanghai Dragons,14.45,4.82,10081,0
Dogman,Atlanta Reign,15.03,5.04,6305,8955
Eileen,Guangzhou Charge,15.96,4.46,6577,3561
Elk,Philadelphia Fusion,12.14,5.41,5769,7268
Elsa,Chengdu Hunters,18.01,4.03,6932,111
Envy,Shanghai Dragons,16.78,4.47,6471,219
eqo,Philadelphia Fusion,16.81,5.25,5976,6042
Erster,Atlanta Reign,17.68,4.85,6217,5999
Fate,Florida Mayhem,14.15,6.15,7046,1
FCTFCTN,Los Angeles Valiant,13.47,6.24,5834,0
Finnsi,Paris Eternal,18.21,4.57,6664,482
FITS,Seoul Dynasty,18.89,4.58,9527,263
Fleta,Seoul Dynasty,17.99,4.73,8020,2659
fragi,Guangzhou Charge,18.78,5.44,4656,0
frd,Atlanta Reign,18.62,3.91,5983,477
FunnyAstro,Atlanta Reign,11.76,5.29,3766,5403
Fury,London Spitfire,18.86,3.91,6670,231
Fusions,Boston Uprising,13.35,6.44,6461,0
Gamsu,Shanghai Dragons,16.84,6.08,6835,0
GARGOYLE,Florida Mayhem,18.23,4.38,5583,1047
GARRY,Chengdu Hunters,10.67,4.17,5385,6345
Gator,Atlanta Reign,15.56,6.57,6106,0
Geguri,Shanghai Dragons,17.48,4.92,6301,199
Gesture,London Spitfire,15.81,5.76,6492,0
